,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2015-01-05,19750,19970,19665,19730,936300,19730
1,2015-01-06,19330,19390,19140,19175,1476100,19175
2,2015-01-07,19050,19105,18900,19020,1394200,19020
3,2015-01-08,19115,19370,19060,19260,1121300,19260
4,2015-01-09,19410,19525,19320,19375,1362200,19375
5,2015-01-13,18875,19250,18825,19225,1171600,19225
6,2015-01-14,19125,19275,18850,18895,1029100,18895
7,2015-01-15,18925,19145,18870,19085,825500,19085
8,2015-01-16,18780,19040,18705,19035,1594600,19035
9,2015-01-19,19200,19410,19095,19200,1090400,19200
10,2015-01-20,19450,19925,19430,19910,1585000,19910
11,2015-01-21,19895,20115,19815,20085,1635900,20085
12,2015-01-22,20150,20285,19955,20130,1434600,20130
13,2015-01-23,20400,20760,20400,20730,1790200,20730
14,2015-01-26,20395,20685,20350,20665,1069400,20665
15,2015-01-27,20850,21010,20615,20940,1366300,20940
16,2015-01-28,20800,20930,20690,20835,1001200,20835
17,2015-01-29,21000,21000,20035,20130,1851400,20130
18,2015-01-30,20510,20530,19865,19890,1735100,19890
19,2015-02-02,19730,19995,19715,19920,968000,19920
20,2015-02-03,20170,20195,19660,19700,908800,19700
21,2015-02-04,20135,20415,20065,20295,1143100,20295
22,2015-02-05,20115,20165,19720,19780,1101400,19780
23,2015-02-06,20115,20130,19935,20020,728600,20020
24,2015-02-09,20150,20150,19910,20035,832100,20035
25,2015-02-10,20025,20785,19935,20755,1711000,20755
26,2015-02-12,21470,22245,21080,22045,3022400,22045
27,2015-02-13,21820,22045,21570,21650,1716200,21650
28,2015-02-16,22110,22640,21905,22390,1526100,22390
29,2015-02-17,22400,22750,22220,22605,904600,22605
30,2015-02-18,22990,23050,22715,22950,1279400,22950
31,2015-02-19,22985,23230,22930,23010,971100,23010
32,2015-02-20,23100,23390,23090,23285,858500,23285
33,2015-02-23,23320,23490,22490,22630,1833200,22630
34,2015-02-24,22505,23010,22315,22945,1155300,22945
35,2015-02-25,23065,23100,22790,22905,690200,22905
36,2015-02-26,23045,23065,22610,22930,981300,22930
37,2015-02-27,23065,23195,22820,22945,1142600,22945
38,2015-03-02,23000,23190,22660,22860,804900,22860
39,2015-03-03,23000,23120,22840,22890,831100,22890
40,2015-03-04,22890,23040,22635,22955,668000,22955
41,2015-03-05,22905,23325,22750,23130,812000,23130
42,2015-03-06,23240,23385,23025,23175,727400,23175
43,2015-03-09,23100,23120,22815,22965,832800,22965
44,2015-03-10,23055,23145,22615,22730,875700,22730
45,2015-03-11,22950,23310,22815,23195,1011500,23195
46,2015-03-12,23330,23890,23140,23735,1322400,23735
47,2015-03-13,25570,27250,25415,26870,5582200,26870
48,2015-03-16,26770,27480,26615,26705,2561900,26705
49,2015-03-17,27300,27430,27130,27270,1496200,27270
50,2015-03-18,27160,27550,26900,27430,1716300,27430
51,2015-03-19,27620,28035,27175,27795,1895100,27795
52,2015-03-20,27535,27800,27235,27340,1473700,27340
53,2015-03-23,27060,27490,26960,27185,1229200,27185
54,2015-03-24,27000,27430,27000,27155,925000,27155
55,2015-03-25,27050,27085,26600,26960,1232900,26960
56,2015-03-26,26820,26850,26370,26540,1320900,26540
57,2015-03-27,25945,26725,25715,26180,1506600,26180
58,2015-03-30,25825,26620,25615,26475,1135100,26475
59,2015-03-31,27050,27105,26250,26250,1347600,26250
60,2015-04-01,26105,26450,25950,26200,1206500,26200
61,2015-04-02,26580,26980,26485,26675,1185300,26675
62,2015-04-03,26870,26975,26535,26665,727300,26665
63,2015-04-06,26455,26645,26300,26430,522500,26430
64,2015-04-07,27270,27380,26815,27225,1454300,27225
65,2015-04-08,27320,27480,26960,27115,1076100,27115
66,2015-04-09,27240,27450,27020,27425,844200,27425
67,2015-04-10,27400,27425,27060,27235,1548700,27235
68,2015-04-13,27450,27450,26960,26970,901400,26970
69,2015-04-14,26470,26865,26450,26530,875100,26530
70,2015-04-15,26420,26750,26285,26610,942800,26610
71,2015-04-16,26580,26580,26110,26250,939300,26250
72,2015-04-17,26050,26245,25715,25740,1014900,25740
73,2015-04-20,25735,26200,25565,25625,1184500,25625
74,2015-04-21,25710,26325,25600,26305,928500,26305
75,2015-04-22,26650,26890,26515,26685,916800,26685
76,2015-04-23,26950,26950,26620,26695,757900,26695
77,2015-04-24,26750,26875,26500,26500,639600,26500
78,2015-04-27,26740,27045,26380,26800,1022700,26800
79,2015-04-28,28500,28575,27605,27685,3465300,27685
80,2015-04-30,27000,27100,26340,26525,2194200,26525
81,2015-05-01,26525,26830,26440,26560,1091500,26560
82,2015-05-07,26060,26180,25610,25625,1803300,25625
83,2015-05-08,25205,25490,24990,25050,2304300,25050
84,2015-05-11,25550,25595,25290,25475,942300,25475
85,2015-05-12,25500,25815,25440,25800,935800,25800
86,2015-05-13,25855,26300,25670,26245,1116200,26245
87,2015-05-14,26215,26215,25750,25885,987700,25885
88,2015-05-15,26145,26220,25785,25970,821700,25970
89,2015-05-18,25625,25700,25160,25450,1614600,25450
90,2015-05-19,25710,25850,25570,25665,1198300,25665
91,2015-05-20,25890,25950,25630,25805,1086000,25805
92,2015-05-21,25940,26340,25835,26055,987900,26055
93,2015-05-22,26000,26040,25810,25935,745500,25935
94,2015-05-25,26020,26080,25890,26040,649700,26040
95,2015-05-26,26145,26195,25965,26105,776700,26105
96,2015-05-27,26190,26775,26130,26690,1177200,26690
97,2015-05-28,26900,27130,26675,27020,1429600,27020
98,2015-05-29,27100,27570,26705,27540,2241900,27540
99,2015-06-01,28005,28200,27485,27650,1462200,27650
100,2015-06-02,27700,27770,27520,27700,1023400,27700
101,2015-06-03,27260,27500,27220,27415,958700,27415
102,2015-06-04,27500,27685,27465,27555,875900,27555
103,2015-06-05,27450,27615,27340,27515,770200,27515
104,2015-06-08,27460,27525,26835,26915,1089700,26915
105,2015-06-09,26565,26800,26465,26515,972700,26515
106,2015-06-10,26515,26725,26285,26400,905100,26400
107,2015-06-11,26200,26200,25705,26110,1678900,26110
108,2015-06-12,26090,26540,25810,26330,2029200,26330
109,2015-06-15,25970,26230,25870,26215,798300,26215
110,2015-06-16,25950,26010,25700,25740,870300,25740
111,2015-06-17,25850,25930,25470,25810,905200,25810
112,2015-06-18,25595,25675,25370,25380,919000,25380
113,2015-06-19,25430,26240,25345,26200,2991400,26200
114,2015-06-22,26140,26460,25900,26225,1040800,26225
115,2015-06-23,26285,26425,26060,26425,1000100,26425
116,2015-06-24,26430,26505,26220,26365,853900,26365
117,2015-06-25,25865,25905,25605,25645,1235100,25645
118,2015-06-26,25885,25885,25695,25700,890500,25700
119,2015-06-29,24980,25390,24970,25005,1019000,25005
120,2015-06-30,24915,25190,24610,25080,1259600,25080
121,2015-07-01,25250,25310,25005,25245,594300,25245
122,2015-07-02,25335,25475,25120,25200,729000,25200
123,2015-07-03,25295,25620,25260,25545,727300,25545
124,2015-07-06,25000,25125,24715,24965,1107800,24965
125,2015-07-07,25290,25300,25020,25065,714800,25065
126,2015-07-08,25000,25070,23920,23930,1734100,23930
127,2015-07-09,23130,24085,23005,24085,2018600,24085
128,2015-07-10,23955,24175,23625,23765,1450100,23765
129,2015-07-13,24265,24280,23820,23995,938200,23995
130,2015-07-14,24430,24480,24190,24275,972400,24275
131,2015-07-15,24470,24540,24210,24280,813100,24280
132,2015-07-16,24450,24455,24025,24215,799900,24215
133,2015-07-17,24090,24250,24030,24070,650300,24070
134,2015-07-21,24050,24380,23950,24305,799200,24305
135,2015-07-22,23820,23940,23760,23845,792600,23845
136,2015-07-23,24080,24165,23650,23720,708100,23720
137,2015-07-24,23415,23575,23210,23300,822100,23300
138,2015-07-27,23140,23570,23120,23360,975400,23360
139,2015-07-28,23160,23395,22980,23170,1042300,23170
140,2015-07-29,20855,20860,19985,20700,4398200,20700
141,2015-07-30,20980,20980,20600,20745,2095700,20745
142,2015-07-31,20500,20685,20105,20680,1600900,20680
