,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2016-01-04,6050,6145,5969,5993,6375800,5993
1,2016-01-05,5950,6046,5930,5969,4869700,5969
2,2016-01-06,5970,6000,5822,5889,6445900,5889
3,2016-01-07,5889,5909,5739,5751,5973000,5751
4,2016-01-08,5635,5843,5580,5695,9049100,5695
5,2016-01-12,5554,5662,5526,5528,7452900,5528
6,2016-01-13,5600,5725,5591,5692,5874500,5692
7,2016-01-14,5530,5545,5390,5520,7411300,5520
8,2016-01-15,5609,5709,5498,5548,6717100,5548
9,2016-01-18,5300,5350,5095,5111,12764000,5111
10,2016-01-19,5068,5127,4964,5046,14250200,5046
11,2016-01-20,4897,4955,4680,4692,14654000,4692
12,2016-01-21,4692,4924,4540,4544,23726900,4544
13,2016-01-22,4855,4936,4766,4903,16042300,4903
14,2016-01-25,5000,5052,4955,5019,13820100,5019
15,2016-01-26,4850,4871,4725,4849,9312500,4849
16,2016-01-27,5259,5290,5160,5187,15992900,5187
17,2016-01-28,5150,5169,5091,5099,8861900,5099
18,2016-01-29,5130,5310,5021,5265,12895600,5265
19,2016-02-01,5465,5495,5367,5455,8315500,5455
20,2016-02-02,5352,5354,5230,5252,7386100,5252
21,2016-02-03,5041,5067,4968,4996,10323500,4996
22,2016-02-04,5000,5162,4985,5080,6820900,5080
23,2016-02-05,4985,5230,4971,5042,6808900,5042
24,2016-02-08,4952,5129,4886,5104,5073600,5104
25,2016-02-09,4831,4897,4757,4770,8083700,4770
26,2016-02-10,4770,4795,4463,4603,10792600,4603
27,2016-02-12,4490,4542,4133,4164,16861400,4164
28,2016-02-15,4340,4440,4250,4400,9986100,4400
29,2016-02-16,5002,5100,4841,5100,20483900,5100
30,2016-02-17,5111,5915,5111,5398,77372600,5398
31,2016-02-18,5650,5670,5216,5297,30713000,5297
32,2016-02-19,5213,5285,5051,5088,18034700,5088
33,2016-02-22,5046,5205,4950,5095,16771000,5095
34,2016-02-23,5143,5290,5104,5197,17998700,5197
35,2016-02-24,5115,5331,5101,5321,17597600,5321
36,2016-02-25,5400,5649,5375,5577,24687700,5577
37,2016-02-26,5576,5659,5516,5585,14113500,5585
38,2016-02-29,5600,5669,5566,5574,12034100,5574
39,2016-03-01,5574,5640,5562,5621,9706500,5621
40,2016-03-02,5755,5774,5673,5728,10602300,5728
41,2016-03-03,5700,5872,5677,5859,9218500,5859
42,2016-03-04,5856,5899,5792,5861,6873800,5861
43,2016-03-07,5776,5806,5720,5754,6590200,5754
44,2016-03-08,5820,5973,5765,5851,12748900,5851
45,2016-03-09,5840,5911,5723,5741,9721800,5741
46,2016-03-10,5730,5765,5612,5732,7307400,5732
47,2016-03-11,5621,5835,5620,5795,11269900,5795
48,2016-03-14,5850,5914,5838,5905,6435300,5905
49,2016-03-15,5923,5997,5882,5928,7181800,5928
50,2016-03-16,5871,5899,5770,5777,5623500,5777
51,2016-03-17,5806,5899,5688,5742,6453700,5742
52,2016-03-18,5706,5730,5591,5620,8476000,5620
53,2016-03-22,5676,5688,5596,5632,7720500,5632
54,2016-03-23,5621,5664,5598,5604,4859600,5604
55,2016-03-24,5597,5624,5520,5590,9043600,5590
56,2016-03-25,5579,5597,5503,5536,5117300,5536
57,2016-03-28,5537,5612,5441,5502,6223800,5502
58,2016-03-29,5502,5566,5454,5511,5702700,5511
59,2016-03-30,5511,5535,5428,5436,5620100,5436
60,2016-03-31,5454,5466,5362,5366,6804900,5366
61,2016-04-01,5380,5486,5357,5410,13848500,5410
62,2016-04-04,5356,5452,5299,5449,9422500,5449
63,2016-04-05,5440,5542,5415,5505,11945300,5505
64,2016-04-06,5477,5541,5437,5513,11134600,5513
65,2016-04-07,5515,5621,5515,5604,11865800,5604
66,2016-04-08,5590,5732,5566,5691,8883400,5691
67,2016-04-11,5660,5703,5566,5677,6133500,5677
68,2016-04-12,5656,5817,5629,5740,5964200,5740
69,2016-04-13,5798,5884,5730,5878,6593300,5878
70,2016-04-14,5927,5974,5852,5974,7394700,5974
71,2016-04-15,5901,6025,5893,6015,5834400,6015
72,2016-04-18,5860,5889,5750,5759,6335700,5759
73,2016-04-19,5889,6012,5887,5998,6036800,5998
74,2016-04-20,6018,6045,5962,6002,4926600,6002
75,2016-04-21,6089,6230,5702,6088,15495100,6088
76,2016-04-22,6088,6293,6027,6293,8852200,6293
77,2016-04-25,6310,6373,6249,6297,5329300,6297
78,2016-04-26,6287,6309,6193,6277,4512200,6277
79,2016-04-27,6287,6295,6162,6203,4537400,6203
80,2016-04-28,6289,6345,5968,5988,7526900,5988
81,2016-05-02,5700,5900,5700,5828,6984800,5828
82,2016-05-06,5875,5883,5678,5718,5361500,5718
83,2016-05-09,5797,5868,5751,5794,3407100,5794
84,2016-05-10,5869,5997,5821,5992,4744400,5992
85,2016-05-11,6100,6288,6085,6104,7070700,6104
86,2016-05-12,6051,6088,5936,6063,4888800,6063
87,2016-05-13,6160,6162,5831,5838,6846900,5838
88,2016-05-16,5799,5913,5753,5821,4332500,5821
89,2016-05-17,5918,5953,5822,5928,6179200,5928
90,2016-05-18,5948,6058,5888,6010,5509600,6010
91,2016-05-19,6048,6093,5938,5993,3647600,5993
92,2016-05-20,5994,6147,5950,6105,4463700,6105
93,2016-05-23,6074,6149,5989,6131,4077600,6131
94,2016-05-24,6096,6118,6026,6059,4024000,6059
95,2016-05-25,6194,6235,6160,6206,4187500,6206
96,2016-05-26,6186,6186,5930,5975,8191100,5975
97,2016-05-27,6039,6125,6023,6053,4234700,6053
98,2016-05-30,6130,6175,6090,6175,3269100,6175
99,2016-05-31,6145,6230,6126,6228,3847100,6228
100,2016-06-01,6260,6443,6224,6252,10677900,6252
101,2016-06-02,6208,6220,6031,6041,6331900,6041
102,2016-06-03,6101,6155,5993,6020,4922400,6020
103,2016-06-06,5950,6123,5934,6093,5417600,6093
104,2016-06-07,6101,6131,6004,6090,4459500,6090
105,2016-06-08,6112,6151,6016,6150,4432200,6150
106,2016-06-09,6120,6189,6013,6104,5789700,6104
107,2016-06-10,6040,6089,5972,5996,9379800,5996
108,2016-06-13,5892,5937,5712,5712,6371800,5712
109,2016-06-14,5712,5769,5560,5647,6693200,5647
110,2016-06-15,5680,5749,5609,5672,4628900,5672
111,2016-06-16,5725,5815,5579,5591,7049000,5591
112,2016-06-17,5691,5722,5577,5577,7345900,5577
113,2016-06-20,5689,5784,5660,5761,5685800,5761
114,2016-06-21,5719,5865,5700,5842,4830600,5842
115,2016-06-22,5842,6070,5832,5994,9347400,5994
116,2016-06-23,6000,6085,5983,6076,6273800,6076
117,2016-06-24,6135,6171,5450,5505,13363200,5505
118,2016-06-27,5599,5667,5507,5655,6608100,5655
119,2016-06-28,5639,5720,5505,5668,6773100,5668
120,2016-06-29,5763,5845,5710,5808,5759800,5808
121,2016-06-30,5920,5948,5632,5789,8776000,5789
122,2016-07-01,5800,5820,5671,5727,4588700,5727
123,2016-07-04,5663,5803,5653,5792,3956900,5792
124,2016-07-05,5754,5763,5683,5728,2966300,5728
125,2016-07-06,5651,5669,5548,5613,5488200,5613
126,2016-07-07,5610,5625,5515,5530,3758600,5530
127,2016-07-08,5516,5577,5397,5399,5995000,5399
128,2016-07-11,5540,5726,5531,5678,5257300,5678
129,2016-07-12,5800,5928,5794,5845,5560700,5845
130,2016-07-13,5947,5956,5831,5870,4449700,5870
131,2016-07-14,5899,6015,5880,5993,4800700,5993
132,2016-07-15,6009,6059,5932,6007,4905000,6007
133,2016-07-19,5400,5410,5329,5387,17150100,5387
134,2016-07-20,5405,5440,5362,5409,11499700,5409
135,2016-07-21,5450,5463,5290,5391,9678500,5391
136,2016-07-22,5354,5408,5350,5392,7201800,5392
137,2016-07-25,5394,5395,5194,5216,7912000,5216
138,2016-07-26,5460,5460,5365,5372,12506900,5372
139,2016-07-27,5433,5459,5395,5422,8838800,5422
140,2016-07-28,5389,5401,5344,5366,5106800,5366
141,2016-07-29,5400,5725,5389,5703,16776000,5703
142,2016-08-01,5703,5968,5697,5930,15281000,5930
143,2016-08-02,5901,6145,5838,6060,19196600,6060
144,2016-08-03,6000,6038,5855,5912,12053000,5912
145,2016-08-04,5900,5912,5775,5842,12721300,5842
146,2016-08-05,5755,5841,5736,5801,8693100,5801
147,2016-08-08,5890,6008,5859,6000,7407500,6000
148,2016-08-09,6013,6210,5972,6201,10956700,6201
149,2016-08-10,6201,6413,6201,6364,18920700,6364
150,2016-08-12,6483,6495,6340,6353,18715400,6353
151,2016-08-15,6353,6848,6308,6804,27485500,6804
152,2016-08-16,6785,6993,6752,6802,29032500,6802
153,2016-08-17,6795,7012,6663,6767,25703500,6767
154,2016-08-18,6510,6599,6431,6455,17452800,6455
155,2016-08-19,6438,6510,6403,6481,6905500,6481
156,2016-08-22,6533,6615,6460,6494,6390200,6494
157,2016-08-23,6538,6539,6431,6435,5538800,6435
158,2016-08-24,6600,6714,6549,6593,9806600,6593
159,2016-08-25,6656,6733,6618,6700,8555600,6700
160,2016-08-26,6700,6737,6583,6642,8621900,6642
161,2016-08-29,6800,6845,6761,6798,5808800,6798
162,2016-08-30,6760,6801,6656,6656,6456400,6656
163,2016-08-31,6723,6799,6686,6756,5961400,6756
164,2016-09-01,6815,6887,6791,6867,6272500,6867
165,2016-09-02,6857,6905,6830,6869,4477000,6869
166,2016-09-05,6950,6999,6922,6938,5418900,6938
167,2016-09-06,6980,6990,6843,6898,4969800,6898
168,2016-09-07,6883,6960,6845,6884,4630900,6884
169,2016-09-08,6867,6890,6792,6845,4636700,6845
170,2016-09-09,6874,6936,6857,6899,5987600,6899
171,2016-09-12,6780,6821,6661,6691,4755100,6691
172,2016-09-13,6715,6717,6565,6587,5465800,6587
173,2016-09-14,6496,6547,6425,6501,5571900,6501
174,2016-09-15,6465,6473,6289,6345,6466400,6345
175,2016-09-16,6445,6512,6395,6404,5810900,6404
176,2016-09-20,6404,6492,6404,6477,5010000,6477
177,2016-09-21,6445,6672,6367,6662,7266300,6662
178,2016-09-23,6709,6743,6633,6658,5104400,6658
179,2016-09-26,6660,6686,6585,6623,3926200,6623
180,2016-09-27,6531,6673,6516,6666,4979500,6666
181,2016-09-28,6594,6600,6483,6531,4086500,6531
182,2016-09-29,6559,6728,6558,6710,5030900,6710
183,2016-09-30,6630,6700,6504,6522,5748800,6522
184,2016-10-03,6523,6571,6460,6478,4351000,6478
185,2016-10-04,6454,6575,6452,6538,3596200,6538
186,2016-10-05,6570,6572,6500,6566,3134300,6566
187,2016-10-06,6616,6665,6592,6627,3868600,6627
188,2016-10-07,6601,6609,6517,6547,3352400,6547
189,2016-10-11,6685,6823,6670,6782,8335500,6782
190,2016-10-12,6691,6702,6556,6578,6145600,6578
191,2016-10-13,6581,6633,6476,6496,5838000,6496
192,2016-10-17,6799,6800,6705,6744,5412900,6744
193,2016-10-19,6635,6665,6547,6558,5143800,6558
194,2016-10-20,6563,6677,6553,6665,5845000,6665
195,2016-10-21,6678,6679,6560,6573,4000800,6573
